Id,Country,City,Catogry,Name,Image,Latitude,Longitude
1,Saudi Arabia,Riyadh,Museum,National  Museum,https://www.bautrip.com/images/what-to-visit/museo-nacional-riad.jpg,24.647776,46.710346
2,Saudi Arabia,Riyadh,Zoo,Riyadh Zoo,https://previews.123rf.com/images/savvas511/savvas5111801/savvas511180100115/93254339-flamingo-in-the-riyadh-zoo-if-saudi-arabia.jpg,24.67564,46.73749
3,Saudi Arabia,Riyadh,Park,King Abdullah Park ,https://www.bautrip.com/images/what-to-visit/king-abdullah-park.jpg,24.666833,46.73705
4,Saudi Arabia,Riyadh,Park,Salam Park ,https://sz8ec43hd29syuhl4ahbnr19-wpengine.netdna-ssl.com/wp-content/uploads/Salam-Park-01-1.jpg,24.621141,46.70836
5,Saudi Arabia,Riyadh,Park,Wadi Namar ,https://i.ytimg.com/vi/82uRaTK49kE/maxresdefault.jpg,24.570762,46.680013
6,Saudi Arabia,Riyadh,Museum,Saqar-Aljazirah Aviation Musem ,http://1.bp.blogspot.com/-xpyu-ruLNBI/TbbY8L-YslI/AAAAAAAAAJU/Hs1D9g2g2LI/s1600/DSCF8527+ed+900x600_filtered.jpg,24.754233,46.738974
7,Saudi Arabia,Riyadh,Park,Wadi Hanifah ,http://www.arabnews.com/sites/default/files/styles/n_670_395/public/2017/06/29/940171-1971291867.jpg?itok=IKbgy4jx,24.593694,46.704988
8,Saudi Arabia,Riyadh,Museum,King Abdulaziz Historical Cente,https://i.pinimg.com/originals/45/7e/a8/457ea867fba38ef11c503781b5e341ec.jpg,24.647886,46.710391
9,Saudi Arabia,Riyadh,Mall,Alfaisaliah tower landscape,https://media-cdn.tripadvisor.com/media/photo-s/05/ee/3e/96/al-faisaliyah-center.jpg,24.690107,46.68399
10,Saudi Arabia,Riyadh,Mall,Panorama Mall,https://asala.sa/ar/wp-content/uploads/Panorama.jpg,24.692833,46.669464
11,Saudi Arabia,Riyadh,Park,New Diriyah,http://www.eyeofriyadh.com/news_images/2015/04/824889705.jpg,24.751272,46.53521
12,Saudi Arabia,Riyadh,Park,Albujairi square ,https://pbs.twimg.com/media/DNa8cOlX4AEH-mk.jpg,24.736757,46.57506
13,Saudi Arabia,Riyadh,Mall,Kingdom Center Tower,https://www.sayidaty.net/sites/default/files/22/12/2016/goetzgmbh_k1.jpg,24.711831,46.674341
14,Saudi Arabia,Riyadh,Mall,Alnakheel Mall,https://media-cdn.tripadvisor.com/media/photo-s/02/74/47/3b/filename-mines-shopping.jpg,24.768236,46.714913
15,Saudi Arabia,Riyadh,Hotel,Narcissus Hotel And Residence,https://images.amoma.com/Hotels/449683/0-1200x900.jpg,24.69586,46.683644
16,Saudi Arabia,Riyadh,Food,Lusin Restaurent,http://www.eyeofriyadh.com/directory/images/2018/03/9e673e1386bd.png,24.697884,46.683753
17,Saudi Arabia,Riyadh,Food,Hualan Chineese Restaurent ,https://hualan.sa/img/logo.png,24.697611,46.684118
18,Saudi Arabia,Riyadh,Food,White Garden Caf�,http://www.qaym.com/109509.jpg,24.694463,46.68371
